Name,Token,Table,identifier,user,SPACE_ID,number_of_sub_daos,Number_of_guilds,server_name,server_id,channel_id
Biconomy,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,ethereum.core.fact_token_transfers,contract_address,to_address,biconomy.eth,0,7,Biconomy,6.92404E+17,8.45958E+17
MetricsDAO,0x15848C9672e99be386807b9101f83A16EB017bb5,polygon.core.fact_token_transfers,contract_address,to_address,vote.metricsdao.eth,0,0,0MetricsDAO,9.02944E+17,9.03339E+17
