,Name,date,SPACE_ID,NUMBER_OF_PROPOSALS,NUMBER_OF_VOTERS,VOTES,RATIO
0,MetricsDAO,2022-09-21,vote.metricsdao.eth,1,10,10,1.0
1,MetricsDAO,2022-11-07,vote.metricsdao.eth,2,9,18,2.0
2,MetricsDAO,2022-09-07,vote.metricsdao.eth,1,10,11,1.1
3,MetricsDAO,2022-11-17,vote.metricsdao.eth,3,7,21,3.0
4,MetricsDAO,2022-10-12,vote.metricsdao.eth,1,7,7,1.0
5,Biconomy,2021-12-05,biconomy.eth,1,16,18680,1167.5
6,MetricsDAO,2022-09-19,vote.metricsdao.eth,1,12,12,1.0
