,dao_name,date,new_users_count,existing_users,new_user_percentage
99,Biconomy,2022-02-08,60.0,177.0,25.3165
100,Biconomy,2022-03-01,51.0,42.0,54.8387
101,Biconomy,2022-01-11,45.0,65.0,40.9091
102,Biconomy,2022-03-25,104.0,40.0,72.2222
103,Biconomy,2022-02-24,38.0,53.0,41.7582
104,Biconomy,2023-01-07,46.0,30.0,60.5263
105,Biconomy,2022-02-16,25.0,31.0,44.6429
106,Biconomy,2022-02-20,26.0,43.0,37.6812
107,Biconomy,2022-08-25,9.0,30.0,23.0769
108,Biconomy,2022-07-14,12.0,36.0,25.0
109,Biconomy,2022-12-08,14.0,27.0,34.1463
110,Biconomy,2022-05-24,19.0,30.0,38.7755
111,Biconomy,2022-04-23,37.0,36.0,50.6849
112,Biconomy,2022-06-02,56.0,75.0,42.7481
113,Biconomy,2022-07-05,28.0,71.0,28.2828
114,Biconomy,2022-11-23,40.0,55.0,42.1053
115,Biconomy,2023-01-08,37.0,36.0,50.6849
116,Biconomy,2021-12-03,2284.0,310.0,88.0493
117,Biconomy,2022-10-02,33.0,132.0,20.0
118,Biconomy,2022-02-25,50.0,46.0,52.0833
119,Biconomy,2022-07-07,21.0,42.0,33.3333
120,Biconomy,2022-06-05,18.0,41.0,30.5085
121,Biconomy,2021-12-15,64.0,44.0,59.2593
122,Biconomy,2021-12-18,68.0,40.0,62.963
123,Biconomy,2022-05-09,28.0,36.0,43.75
124,Biconomy,2022-01-27,21.0,19.0,52.5
125,Biconomy,2022-02-19,27.0,24.0,52.9412
126,Biconomy,2023-01-09,23.0,52.0,30.6667
127,Biconomy,2022-02-07,73.0,139.0,34.434
128,Biconomy,2021-11-28,2.0,3.0,40.0
129,Biconomy,2022-07-11,22.0,30.0,42.3077
130,Biconomy,2022-06-27,25.0,51.0,32.8947
131,Biconomy,2021-12-17,66.0,37.0,64.0777
132,Biconomy,2022-04-28,24.0,46.0,34.2857
133,Biconomy,2022-04-22,49.0,46.0,51.5789
134,Biconomy,2022-12-14,81.0,60.0,57.4468
135,Biconomy,2022-10-20,17.0,35.0,32.6923
136,Biconomy,2022-07-01,45.0,34.0,56.962
137,Biconomy,2021-12-08,198.0,75.0,72.5275
138,Biconomy,2022-05-14,41.0,80.0,33.8843
139,Biconomy,2022-06-04,18.0,42.0,30.0
140,Biconomy,2022-04-08,26.0,29.0,47.2727
141,Biconomy,2022-11-10,80.0,68.0,54.0541
142,Biconomy,2022-07-18,25.0,57.0,30.4878
143,Biconomy,2022-07-15,27.0,41.0,39.7059
144,Biconomy,2022-10-11,29.0,34.0,46.0317
145,Biconomy,2022-06-20,11.0,33.0,25.0
146,Biconomy,2022-08-14,19.0,46.0,29.2308
147,Biconomy,2022-08-11,18.0,57.0,24.0
148,Biconomy,2022-09-20,18.0,50.0,26.4706
149,Biconomy,2022-03-03,84.0,91.0,48.0
150,Biconomy,2022-01-18,42.0,34.0,55.2632
151,Biconomy,2022-12-16,70.0,52.0,57.377
152,Biconomy,2022-01-26,21.0,39.0,35.0
153,Biconomy,2023-01-03,19.0,29.0,39.5833
154,Biconomy,2022-01-17,29.0,34.0,46.0317
155,Biconomy,2021-12-10,218.0,88.0,71.2418
156,Biconomy,2022-06-19,26.0,43.0,37.6812
157,Biconomy,2022-04-26,25.0,30.0,45.4545
158,Biconomy,2022-06-11,17.0,60.0,22.0779
159,Biconomy,2022-02-09,51.0,77.0,39.8438
160,Biconomy,2022-08-15,15.0,42.0,26.3158
161,Biconomy,2021-12-26,173.0,89.0,66.0305
162,Biconomy,2022-05-02,19.0,33.0,36.5385
163,Biconomy,2022-10-31,1.0,42.0,2.3256
164,Biconomy,2021-12-19,33.0,44.0,42.8571
165,Biconomy,2022-01-31,27.0,30.0,47.3684
166,Biconomy,2022-08-31,14.0,39.0,26.4151
167,Biconomy,2022-09-14,23.0,37.0,38.3333
168,Biconomy,2022-10-29,19.0,42.0,31.1475
169,Biconomy,2022-11-08,48.0,61.0,44.0367
170,Biconomy,2022-04-25,32.0,35.0,47.7612
171,Biconomy,2022-04-15,26.0,25.0,50.9804
172,Biconomy,2022-08-20,12.0,41.0,22.6415
173,Biconomy,2022-05-27,24.0,39.0,38.0952
174,Biconomy,2022-12-29,22.0,31.0,41.5094
175,Biconomy,2022-12-24,28.0,26.0,51.8519
176,Biconomy,2022-09-05,28.0,68.0,29.1667
177,Biconomy,2022-01-22,31.0,54.0,36.4706
178,Biconomy,2022-12-10,28.0,59.0,32.1839
179,Biconomy,2022-09-24,13.0,49.0,20.9677
180,Biconomy,2022-12-26,16.0,43.0,27.1186
181,Biconomy,2022-08-13,15.0,59.0,20.2703
182,Biconomy,2022-12-17,93.0,65.0,58.8608
183,Biconomy,2022-12-18,53.0,41.0,56.383
184,Biconomy,2022-10-24,11.0,36.0,23.4043
185,Biconomy,2022-06-06,18.0,42.0,30.0
186,Biconomy,2022-06-08,11.0,27.0,28.9474
187,Biconomy,2022-06-12,18.0,40.0,31.0345
188,Biconomy,2022-09-25,22.0,34.0,39.2857
189,Biconomy,2022-05-21,18.0,38.0,32.1429
190,Biconomy,2022-10-22,28.0,54.0,34.1463
191,Biconomy,2022-01-25,23.0,35.0,39.6552
192,Biconomy,2022-03-26,34.0,30.0,53.125
193,Biconomy,2022-01-07,99.0,93.0,51.5625
194,Biconomy,2022-03-20,32.0,43.0,42.6667
195,Biconomy,2022-08-27,43.0,75.0,36.4407
196,Biconomy,2022-07-12,21.0,39.0,35.0
197,Biconomy,2022-03-28,34.0,47.0,41.9753
198,Biconomy,2021-12-30,115.0,54.0,68.0473
199,Biconomy,2022-02-15,44.0,44.0,50.0
200,Biconomy,2022-08-03,21.0,98.0,17.6471
201,Biconomy,2021-12-31,68.0,32.0,68.0
202,Biconomy,2022-04-21,112.0,67.0,62.5698
203,Biconomy,2022-09-04,19.0,57.0,25.0
204,Biconomy,2022-04-11,29.0,24.0,54.717
205,Biconomy,2022-09-10,7.0,41.0,14.5833
206,Biconomy,2022-04-14,27.0,15.0,64.2857
207,Biconomy,2022-03-15,33.0,33.0,50.0
208,Biconomy,2022-06-24,28.0,54.0,34.1463
